"filename", "language", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\sande\Documents\GitHub\lahacksVI\app\index.html", "HTML", 0, 66, 0, 0, 0, 1, 67
"c:\Users\sande\Documents\GitHub\lahacksVI\app\signup.html", "HTML", 0, 6, 0, 0, 1, 1, 8
"c:\Users\sande\Documents\GitHub\lahacksVI\css\app.css", "CSS", 0, 0, 0, 135, 1, 1, 137
"c:\Users\sande\Documents\GitHub\lahacksVI\css\common.css", "CSS", 0, 0, 0, 211, 6, 4, 221
"c:\Users\sande\Documents\GitHub\lahacksVI\css\index.css", "CSS", 0, 0, 0, 70, 1, 3, 74
"c:\Users\sande\Documents\GitHub\lahacksVI\css\signup.css", "CSS", 0, 0, 0, 121, 2, 3, 126
"c:\Users\sande\Documents\GitHub\lahacksVI\css\util.css", "CSS", 0, 0, 0, 282, 7, 8, 297
"c:\Users\sande\Documents\GitHub\lahacksVI\img\art\onboarding-art.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\sande\Documents\GitHub\lahacksVI\img\art\star.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\favicon-monochrome.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\favicon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\interface\close-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\interface\more-icon.svg", "XML", 0, 0, 5, 0, 0, 1, 6
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\login\check-alt.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\login\check.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\login\email.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\login\password.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\login\profile.svg", "XML", 0, 0, 10, 0, 0, 1, 11
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\add-alt.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\add.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\home-alt.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\home.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\session-alt.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\pages\session.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\clipboard-icon.svg", "XML", 0, 0, 30, 0, 0, 1, 31
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\error-icon.svg", "XML", 0, 0, 28, 0, 0, 1, 29
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\group-info-icon.svg", "XML", 0, 0, 28, 0, 0, 1, 29
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\info-icon.svg", "XML", 0, 0, 28, 0, 0, 1, 29
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\info-locked-icon.svg", "XML", 0, 0, 29, 0, 0, 1, 30
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\info-unlocked-icon.svg", "XML", 0, 0, 29, 0, 0, 1, 30
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\print-icon.svg", "XML", 0, 0, 29, 0, 0, 1, 30
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\success-icon.svg", "XML", 0, 0, 28, 0, 0, 1, 29
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\unimplemented-icon.svg", "XML", 0, 0, 34, 0, 0, 1, 35
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\toast\warning-icon.svg", "XML", 0, 0, 28, 0, 0, 1, 29
"c:\Users\sande\Documents\GitHub\lahacksVI\index.html", "HTML", 0, 41, 0, 0, 0, 1, 42
"c:\Users\sande\Documents\GitHub\lahacksVI\js\app.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\sande\Documents\GitHub\lahacksVI\js\auth.js", "JavaScript", 33, 0, 0, 0, 8, 2, 43
"c:\Users\sande\Documents\GitHub\lahacksVI\js\index.js", "JavaScript", 16, 0, 0, 0, 1, 2, 19
"c:\Users\sande\Documents\GitHub\lahacksVI\js\signup.js", "JavaScript", 109, 0, 0, 0, 11, 1, 121
"c:\Users\sande\Documents\GitHub\lahacksVI\js\util.js", "JavaScript", 128, 0, 0, 0, 4, 5, 137
"c:\Users\sande\Documents\GitHub\lahacksVI\signup.html", "HTML", 0, 79, 0, 0, 0, 1, 80
"Total", "-", 293, 192, 356, 819, 42, 61, 1763