"filename", "language", "JavaScript", "CSS", "YAML", "HTML", "XML", "comment", "blank", "total"
"c:\Users\sande\Documents\GitHub\lahacksVI\.github\workflows\main.yml", "YAML", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\sande\Documents\GitHub\lahacksVI\app\index.html", "HTML", 0, 0, 0, 112, 0, 1, 0, 113
"c:\Users\sande\Documents\GitHub\lahacksVI\css\app.css", "CSS", 0, 211, 0, 0, 0, 1, 3, 215
"c:\Users\sande\Documents\GitHub\lahacksVI\css\common.css", "CSS", 0, 48, 0, 0, 0, 0, 0, 48
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\favicon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\interface\Vector.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\sande\Documents\GitHub\lahacksVI\img\icon\interface\pfp.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\sande\Documents\GitHub\lahacksVI\js\app.js", "JavaScript", 23, 0, 0, 0, 0, 3, 0, 26
"c:\Users\sande\Documents\GitHub\lahacksVI\js\auth.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 33
"c:\Users\sande\Documents\GitHub\lahacksVI\js\util.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 56, 259, 32, 112, 9, 5, 7, 480